trade_id,symbol,side,entry_time_utc,exit_time_utc,entry_price,exit_price,quantity,holding_minutes,exit_reason,gross_pnl_quote,fees_quote_total,net_pnl_quote,entry_notional_quote,exit_notional_quote,executed_quantity,was_tp_exit,was_sl_exit,was_forced_exit,trade_won
bt-trade-1,BTCUSDT,BUY,2025-05-05T07:30:00+00:00,2025-05-05T08:15:00+00:00,94747.43004000,94299.07514059428571428571428,0.105,45.0,STOP_LOSS,-57.025744591800000000000001,9.90140288976240000000000000,-66.92714748156240000000000100,9948.48015420000,9901.402889762399999999999999,0.105,False,True,False,False
bt-trade-2,BTCUSDT,BUY,2025-05-05T09:15:00+00:00,2025-05-05T10:00:00+00:00,94653.25297500,94227.17798750357142857142857,0.104,45.0,STOP_LOSS,-54.155737009028571428571429,9.79962651070037142857142857,-63.95536351972894285714285757,9843.93830940000,9799.626510700371428571428571,0.104,False,True,False,False
bt-trade-3,BTCUSDT,BUY,2025-05-05T12:00:00+00:00,2025-05-05T13:30:00+00:00,94244.73882000,93789.86899282571428571428572,0.104,90.0,STOP_LOSS,-57.107914863405714285714285,9.75414637525387428571428572,-66.86206123865958857142857072,9801.45283728000,9754.146375253874285714285715,0.104,False,True,False,False
bt-trade-4,BTCUSDT,BUY,2025-05-05T13:45:00+00:00,2025-05-05T14:00:00+00:00,94273.49319000,93736.82297971571428571428572,0.103,15.0,STOP_LOSS,-64.987201457851428571428571,9.65489276691071857142857143,-74.64209422476214714285714243,9710.16979857000,9654.892766910718571428571429,0.103,False,True,False,False
bt-trade-5,BTCUSDT,BUY,2025-05-05T16:00:00+00:00,2025-05-05T18:15:00+00:00,94025.59930500,94690.01216214285714285714286,0.103,135.0,TAKE_PROFIT,58.749887557299285714285715,9.75307125270071428571428572,48.99681630459857142857142928,9684.63672841500,9753.071252700714285714285715,0.103,True,False,False,True
bt-trade-6,BTCUSDT,BUY,2025-05-05T21:00:00+00:00,2025-05-05T21:30:00+00:00,94640.05638000,94133.052475860000,0.103,30.0,STOP_LOSS,-61.969327933560000,9.695704405013580000,-71.665032338573580000,9747.92580714000,9695.704405013580000,0.103,False,True,False,False
bt-trade-7,BTCUSDT,BUY,2025-05-06T01:00:00+00:00,2025-05-06T01:30:00+00:00,94798.10536500,94318.78615461928571428571428,0.102,30.0,STOP_LOSS,-58.559966206062857142857143,9.62051618777116714285714286,-68.18048239383402428571428586,9669.40674723000,9620.516187771167142857142857,0.102,False,True,False,False
bt-trade-8,BTCUSDT,BUY,2025-05-06T03:15:00+00:00,2025-05-06T08:00:00+00:00,94449.97138500,93957.07272298785714285714285,0.101,285.0,STOP_LOSS,-59.322211973111428571428572,9.48966434502177357142857143,-68.81187631813320214285714343,9539.44710988500,9489.664345021773571428571428,0.101,False,True,False,False
bt-trade-9,BTCUSDT,BUY,2025-05-06T08:45:00+00:00,2025-05-06T09:00:00+00:00,94423.08795000,94006.44928400714285714285715,0.101,15.0,STOP_LOSS,-51.617237148228571428571428,9.49465137768472142857142857,-61.11188852591329285714285657,9536.73188295000,9494.651377684721428571428572,0.101,False,True,False,False
bt-trade-10,BTCUSDT,BUY,2025-05-06T12:30:00+00:00,2025-05-06T13:00:00+00:00,94044.47874000,93614.96235449428571428571428,0.100,30.0,STOP_LOSS,-52.356086424571428571428572,9.36149623544942857142857143,-61.71758266002085714285714343,9404.44787400000,9361.496235449428571428571428,0.100,False,True,False,False
bt-trade-11,BTCUSDT,BUY,2025-05-06T13:30:00+00:00,2025-05-06T13:45:00+00:00,93999.65634000,93541.16130955142857142857143,0.100,15.0,STOP_LOSS,-55.249468678857142857142857,9.35411613095514285714285714,-64.60358480981228571428571414,9399.96563400000,9354.116130955142857142857143,0.100,False,True,False,False
bt-trade-12,BTCUSDT,BUY,2025-05-06T14:00:00+00:00,2025-05-06T14:15:00+00:00,94093.39318500,94571.00889928571428571428571,0.099,15.0,TAKE_PROFIT,37.968709788970714285714285,9.36252988102928571428571428,28.60617990794142857142857072,9315.24592531500,9362.529881029285714285714285,0.099,True,False,False,True
bt-trade-13,BTCUSDT,BUY,2025-05-06T17:00:00+00:00,2025-05-06T22:00:00+00:00,94508.40058500,95228.610585000,0.099,300.0,TAKE_PROFIT,61.94445834208500,9.427632447915000,52.516825894170000,9356.33165791500,9427.632447915000,0.099,True,False,False,True
bt-trade-14,BTCUSDT,BUY,2025-05-06T22:00:00+00:00,2025-05-06T22:15:00+00:00,95211.43192500,95646.89049642857142857142857,0.099,15.0,TAKE_PROFIT,33.684466810853571428571428,9.46904215914642857142857143,24.21542465170714285714285657,9425.93176057500,9469.042159146428571428571428,0.099,True,False,False,True
