trade_id,symbol,side,entry_time_utc,exit_time_utc,entry_price,exit_price,quantity,holding_minutes,exit_reason,gross_pnl_quote,fees_quote_total,net_pnl_quote,entry_notional_quote,exit_notional_quote,executed_quantity,was_tp_exit,was_sl_exit,was_forced_exit,trade_won
bt-trade-1,BTCUSDT,BUY,2026-01-01T08:00:00+00:00,2026-01-01T08:15:00+00:00,87794.26519500,87461.366574415000,0.113,15.0,STOP_LOSS,-47.538296093140000,9.883134422908895000,-57.421430516048895000,9920.75196703500,9883.134422908895000,0.113,False,True,False,False
bt-trade-2,BTCUSDT,BUY,2026-01-01T14:45:00+00:00,2026-01-01T15:00:00+00:00,88011.03352500,87662.135784425000,0.112,15.0,STOP_LOSS,-48.933782699200000,9.818159207855600000,-58.751941907055600000,9857.23575480000,9818.159207855600000,0.112,False,True,False,False
bt-trade-3,BTCUSDT,BUY,2026-01-01T16:45:00+00:00,2026-01-01T17:15:00+00:00,88032.75438000,88226.90295142857142857142857,0.112,30.0,TAKE_PROFIT,11.884971509440000000000000,9.881413130560000000000000000,2.003558378880000000000000000,9859.66849056000,9881.413130560000000000000000,0.112,True,False,False,True
bt-trade-4,BTCUSDT,BUY,2026-01-01T18:30:00+00:00,2026-01-01T19:00:00+00:00,88219.37764500,87822.83421563642857142857143,0.111,30.0,STOP_LOSS,-53.808671577951428571428571,9.74833459793564357142857143,-63.55700617588707214285714243,9792.35091859500,9748.334597935643571428571429,0.111,False,True,False,False
bt-trade-5,BTCUSDT,BUY,2026-01-01T19:15:00+00:00,2026-01-01T22:00:00+00:00,88210.83337500,88456.31194642857142857142857,0.111,165.0,TAKE_PROFIT,17.456718923946428571428571,9.818650626053571428571428571,7.638068297892857142857142429,9791.40250462500,9818.650626053571428571428571,0.111,True,False,False,True
bt-trade-6,BTCUSDT,BUY,2026-01-02T00:15:00+00:00,2026-01-02T01:30:00+00:00,88759.62763500,88331.11548780928571428571428,0.110,75.0,STOP_LOSS,-56.899895230828571428571429,9.71642270365902142857142857,-66.61631793448759285714285757,9763.55903985000,9716.422703659021428571428571,0.110,False,True,False,False
bt-trade-7,BTCUSDT,BUY,2026-01-02T02:45:00+00:00,2026-01-02T03:30:00+00:00,88681.34851500,89010.18422928571428571428571,0.109,45.0,TAKE_PROFIT,26.176825869007857142857142,9.70211008099214285714285714,16.47471578801571428571428486,9666.26698813500,9702.110080992142857142857142,0.109,True,False,False,True
bt-trade-8,BTCUSDT,BUY,2026-01-02T05:45:00+00:00,2026-01-02T08:30:00+00:00,88809.58260000,89157.52402857142857142857143,0.110,165.0,TAKE_PROFIT,28.504503056857142857142857,9.80732764314285714285714286,18.69717541371428571428571414,9769.05408600000,9807.327643142857142857142857,0.110,True,False,False,True
bt-trade-9,BTCUSDT,BUY,2026-01-02T11:30:00+00:00,2026-01-02T13:45:00+00:00,89572.76400000,89111.98576442857142857142857,0.109,135.0,STOP_LOSS,-59.988258953285714285714286,9.71320644832271428571428571,-69.70146540160842857142857171,9763.43127600000,9713.206448322714285714285714,0.109,False,True,False,False
bt-trade-10,BTCUSDT,BUY,2026-01-02T14:30:00+00:00,2026-01-02T14:45:00+00:00,89432.34382500,89935.56525357142857142857143,0.108,15.0,TAKE_PROFIT,44.689221152614285714285714,9.71304104738571428571428571,34.97618010522857142857142829,9658.69313310000,9713.041047385714285714285714,0.108,True,False,False,True
